Spike Start (s),Spike End (s)
2.916,3.302
3.386,3.471
4.73,4.798
5.078,5.185
11.416,11.449
15.403,15.438
16.904,16.952
28.025,28.16
28.279,29
29.036,29.138
29.227,29.516
32.067,32.391
32.929,33.18
47.257,47.294
47.356,47.454
54.113,54.221
54.575,54.62
54.696,54.743
54.794,54.825
55.363,55.492
55.936,55.992
56.19,56.449
66.714,66.781
67.223,67.346
67.393,67.447
67.733,68.725
82.151,84.099
84.207,84.369
84.412,84.533
84.988,85.357
85.533,85.722
85.873,85.968
86.075,86.471
86.6,86.811
95.746,95.781
98,98.155
98.203,98.59
107.793,107.943
108.156,108.282
112.279,112.327
112.451,112.591
112.636,112.783
112.892,113.011
113.326,113.37
124.985,125.043
127.507,127.841
127.894,128.036
130.239,130.303
131.833,132.218
133.213,133.293
143.473,143.542
143.576,144.335
144.383,144.793
144.85,144.893
146.32,146.384
159.887,160.205
166.009,168.729
168.816,169.278
169.31,169.358
169.468,170.112
178.828,178.883
178.94,179.265
179.647,179.685
187.548,187.591
188.404,188.452
188.931,188.972
200.545,200.727
207.461,207.717
211.159,211.811
211.915,212.003
217.802,220.253
220.523,220.642
220.859,221.035
221.221,221.315
221.539,221.749
232.672,232.709
242.035,242.11
242.487,242.529
254.231,254.366
268.763,269.504
269.7,269.907
277.238,277.279
281.508,281.557
282.702,282.867
319.663,320.75
320.796,321.216
321.332,321.386
321.703,321.935
323.075,323.381
324.427,324.516
326.74,326.81
334.451,334.58
335.089,335.139
336.167,336.204
364.359,364.416
370.603,372.161
373.591,373.623
421.555,423.005
429.915,429.959
430.013,430.068
430.291,430.879
430.922,430.996
431.109,431.173
431.481,431.558
431.604,431.707
432.169,432.574
449.963,450.04
452.562,452.603
464.015,464.059
472.544,472.895
472.955,473.033
473.108,473.143
474.59,474.75
475.249,475.34
491.379,491.445
491.486,492.809
493.015,493.804
496.101,496.143
522.668,522.775
522.818,522.91
523.503,524.41
524.46,524.489
524.697,524.739
525.193,525.226
525.366,525.425
540.988,541.052
552.167,552.212
556.425,556.474
564.775,564.837
574.466,575.013
575.167,575.265
575.61,575.751
576.5,577.669
578.573,578.626
578.748,578.858
594.73,595.5
595.601,595.792
595.911,595.989
596.063,596.168
596.576,596.618
612.291,612.342
625.596,626.363
626.415,626.516
626.687,627.085
628.761,629.243
629.276,629.334
635.507,636.262
638.023,638.126
639.71,639.736
639.861,639.902
667.379,667.421
